time,true_position,true_velocity,S1,S2,S3,fault_S1,fault_S2,fault_S3,truebias_S1,truevar_S1,clean_S1,truebias_S2,truevar_S2,clean_S2,truebias_S3,truevar_S3,clean_S3
0.17,0.1491611598,1.053515379,-0.0551609018,0.1927954968,0.2586901588,0,0,0,0,0.01,0.1491611598,0,0.0225,0.1491611598,0,0.04,0.1491611598
0.18,0.1596744149,1.057315242,0.2570173694,0.09895046688,-0.10660532,0,0,0,0,0.01,0.1596744149,0,0.0225,0.1596744149,0,0.04,0.1596744149
0.19,0.1702842736,1.039577946,0.08019040017,-0.08368752606,0.08141063496,0,0,0,0,0.01,0.1702842736,0,0.0225,0.1702842736,0,0.04,0.1702842736
0.2,0.180909583,1.067567939,0.1325518103,0.2374297159,0.3386590305,0,0,0,0,0.01,0.180909583,0,0.0225,0.180909583,0,0.04,0.180909583
0.21,0.1915833859,1.068347094,0.2790357501,0.2542694025,0.1640326651,0,0,0,0,0.01,0.1915833859,0,0.0225,0.1915833859,0,0.04,0.1915833859
0.22,0.2024424936,1.085599276,0.1300534387,0.285493454,0.04018837346,0,0,0,0,0.01,0.2024424936,0,0.0225,0.2024424936,0,0.04,0.2024424936
0.23,0.2133228363,1.08367618,0.3849484626,0.4546040551,0.3794499497,0,0,0,0,0.01,0.2133228363,0,0.0225,0.2133228363,0,0.04,0.2133228363
0.24,0.2244516199,1.146820503,0.1741333541,0.1494895511,0.4588943624,0,0,0,0,0.01,0.2244516199,0,0.0225,0.2244516199,0,0.04,0.2244516199
0.25,0.2361708862,1.172017901,0.2612618353,0.381163996,0.3533257012,0,0,0,0,0.01,0.2361708862,0,0.0225,0.2361708862,0,0.04,0.2361708862
0.26,0.2477667882,1.156835901,0.2709189969,0.277354709,0.2361196351,0,0,0,0,0.01,0.2477667882,0,0.0225,0.2477667882,0,0.04,0.2477667882
0.27,0.2592758052,1.152202947,0.02991568945,0.1511880211,0.2363548288,0,0,0,0,0.01,0.2592758052,0,0.0225,0.2592758052,0,0.04,0.2592758052
0.28,0.2709705602,1.192124769,0.2780086922,0.3246426609,0.4384563026,0,0,0,0,0.01,0.2709705602,0,0.0225,0.2709705602,0,0.04,0.2709705602
0.29,0.283071493,1.217344307,0.261611932,0.1043955687,0.2038588515,0,0,0,0,0.01,0.283071493,0,0.0225,0.283071493,0,0.04,0.283071493
0.3,0.2951988696,1.210724845,-0.0009252995353,0.08803955792,0.3032954379,0,0,0,0,0.01,0.2951988696,0,0.0225,0.2951988696,0,0.04,0.2951988696
0.31,0.3072806374,1.220413771,0.3752162738,0.143162528,0.4878873032,0,0,0,0,0.01,0.3072806374,0,0.0225,0.3072806374,0,0.04,0.3072806374
0.32,0.319295403,1.185848871,0.2862697049,0.2629859922,0.2642696409,0,0,0,0,0.01,0.319295403,0,0.0225,0.319295403,0,0.04,0.319295403
0.33,0.3310454514,1.162035974,0.162636652,0.3715853301,0.2566891961,0,0,0,0,0.01,0.3310454514,0,0.0225,0.3310454514,0,0.04,0.3310454514
0.34,0.3426482902,1.164826457,0.3226870014,0.3957120388,0.4079443225,0,0,0,0,0.01,0.3426482902,0,0.0225,0.3426482902,0,0.04,0.3426482902
0.35,0.3542927916,1.140953433,0.3405772112,0.4144326437,0.3885199437,0,0,0,0,0.01,0.3542927916,0,0.0225,0.3542927916,0,0.04,0.3542927916
0.36,0.3657738551,1.151383684,0.3517891562,0.2950131355,0.2772825338,0,0,0,0,0.01,0.3657738551,0,0.0225,0.3657738551,0,0.04,0.3657738551
0.37,0.3771961087,1.119572391,0.3788676251,0.3922698392,0.3876902265,0,0,0,0,0.01,0.3771961087,0,0.0225,0.3771961087,0,0.04,0.3771961087
0.38,0.3882210488,1.10530191,0.3382673417,-0.0381687435,0.2084839038,0,0,0,0,0.01,0.3882210488,0,0.0225,0.3882210488,0,0.04,0.3882210488
0.39,0.3994475573,1.124286265,0.6035255193,0.3109357579,0.712061867,0,0,0,0,0.01,0.3994475573,0,0.0225,0.3994475573,0,0.04,0.3994475573
0.4,0.4110683959,1.178556849,0.3194537179,0.8463241871,0.1546108727,0,0,0,0,0.01,0.4110683959,0,0.0225,0.4110683959,0,0.04,0.4110683959
0.41,0.4228177729,1.17115584,0.2817499768,0.2505066564,0.5675264814,0,0,0,0,0.01,0.4228177729,0,0.0225,0.4228177729,0,0.04,0.4228177729
0.42,0.4347257965,1.211579044,0.3555686194,0.568049551,0.3044274371,0,0,0,0,0.01,0.4347257965,0,0.0225,0.4347257965,0,0.04,0.4347257965
0.43,0.4466230403,1.183753771,0.4581567188,0.4572738822,0.7778122641,0,0,0,0,0.01,0.4466230403,0,0.0225,0.4466230403,0,0.04,0.4466230403
0.44,0.4583810044,1.167669441,0.3854827698,0.295041152,0.5462840302,0,0,0,0,0.01,0.4583810044,0,0.0225,0.4583810044,0,0.04,0.4583810044
0.45,0.4700938647,1.176606516,0.2875701973,0.3950773679,0.4792745374,0,0,0,0,0.01,0.4700938647,0,0.0225,0.4700938647,0,0.04,0.4700938647
0.46,0.4818994548,1.193219639,0.4165250958,0.4877217206,0.6281083519,0,0,0,0,0.01,0.4818994548,0,0.0225,0.4818994548,0,0.04,0.4818994548
0.47,0.4935828171,1.164255206,0.4481002351,0.6972065135,0.4079205222,0,0,0,0,0.01,0.4935828171,0,0.0225,0.4935828171,0,0.04,0.4935828171
0.48,0.5053246613,1.180390337,0.4761852269,0.4952426181,0.5290157949,0,0,0,0,0.01,0.5053246613,0,0.0225,0.5053246613,0,0.04,0.5053246613
0.49,0.5170644808,1.179299594,0.4047408976,0.6571000118,0.5377978911,0,0,0,0,0.01,0.5170644808,0,0.0225,0.5170644808,0,0.04,0.5170644808
0.5,0.5287813451,1.174580133,0.4998161619,0.2101845683,0.04698909983,0,0,0,0,0.01,0.5287813451,0,0.0225,0.5287813451,0,0.04,0.5287813451
0.51,0.5403935011,1.139867662,0.472365013,0.5728138165,0.4366692548,0,0,0,0,0.01,0.5403935011,0,0.0225,0.5403935011,0,0.04,0.5403935011
0.52,0.5517784788,1.148092481,0.5373628215,0.5519045005,0.08102765139,0,0,0,0,0.01,0.5517784788,0,0.0225,0.5517784788,0,0.04,0.5517784788
0.53,0.5633634716,1.158894716,0.4604582848,0.3945433332,0.9580141647,0,0,0,0,0.01,0.5633634716,0,0.0225,0.5633634716,0,0.04,0.5633634716
0.54,0.5747908368,1.141762735,0.3539722867,0.6061412292,0.7056968185,0,0,0,0,0.01,0.5747908368,0,0.0225,0.5747908368,0,0.04,0.5747908368
0.55,0.5862229715,1.147784312,0.6799969516,0.585679405,0.8025348778,0,0,0,0,0.01,0.5862229715,0,0.0225,0.5862229715,0,0.04,0.5862229715
0.56,0.5975548027,1.111577412,0.5795907451,0.3606329621,0.6190605752,0,0,0,0,0.01,0.5975548027,0,0.0225,0.5975548027,0,0.04,0.5975548027
0.57,0.6085633504,1.074989162,0.7345406401,0.4556657478,0.6215287763,0,0,0,0,0.01,0.6085633504,0,0.0225,0.6085633504,0,0.04,0.6085633504
0.58,0.6192237648,1.063700617,0.51026379,0.7232165372,1.004835776,0,0,0,0,0.01,0.6192237648,0,0.0225,0.6192237648,0,0.04,0.6192237648
0.59,0.6297098212,1.041364593,0.6888727822,0.3617625216,0.7055604919,0,0,0,0,0.01,0.6297098212,0,0.0225,0.6297098212,0,0.04,0.6297098212
0.6,0.6400212942,1.012237143,0.5914110451,0.9931856161,0.3721576324,0,0,0,0,0.01,0.6400212942,0,0.0225,0.6400212942,0,0.04,0.6400212942
0.61,0.6501083548,1.00858777,0.9025162858,0.7784541536,0.9085926066,0,0,0,0,0.01,0.6501083548,0,0.0225,0.6501083548,0,0.04,0.6501083548
0.62,0.6602871736,1.00060839,0.7093227135,1.083546884,0.5467402252,0,0,0,0,0.01,0.6602871736,0,0.0225,0.6602871736,0,0.04,0.6602871736
0.63,0.6702336749,0.9844619368,0.8420661188,0.9941910534,0.6627115299,0,0,0,0,0.01,0.6702336749,0,0.0225,0.6702336749,0,0.04,0.6702336749
0.64,0.6800543392,0.9764412778,0.7172886928,0.9143641737,0.810434261,0,0,0,0,0.01,0.6800543392,0,0.0225,0.6800543392,0,0.04,0.6800543392
0.65,0.689774629,0.9477662111,0.7603345337,0.6119977879,0.4303880774,0,0,0,0,0.01,0.689774629,0,0.0225,0.689774629,0,0.04,0.689774629
0.66,0.6994451111,0.979777973,0.860236073,0.5917281389,0.6863685903,0,0,0,0,0.01,0.6994451111,0,0.0225,0.6994451111,0,0.04,0.6994451111
0.67,0.7091705679,0.9876432608,0.755111405,0.8293109895,0.6744870458,0,0,0,0,0.01,0.7091705679,0,0.0225,0.7091705679,0,0.04,0.7091705679
0.68,0.7187807647,0.9526373179,0.8681408744,0.549205269,0.4396869896,0,0,0,0,0.01,0.7187807647,0,0.0225,0.7187807647,0,0.04,0.7187807647
0.69,0.7283441538,0.9550000533,0.6661893287,0.8587732705,0.338802497,0,0,0,0,0.01,0.7283441538,0,0.0225,0.7283441538,0,0.04,0.7283441538
0.7,0.7378099143,0.9345171991,0.7158416962,0.8722038546,0.9830160079,0,0,0,0,0.01,0.7378099143,0,0.0225,0.7378099143,0,0.04,0.7378099143
0.71,0.7470277393,0.9112360857,0.8475492838,0.7905757781,0.7641230513,0,0,0,0,0.01,0.7470277393,0,0.0225,0.7470277393,0,0.04,0.7470277393
0.72,0.7561848335,0.9084597303,0.832161485,0.609624773,0.7877319979,0,0,0,0,0.01,0.7561848335,0,0.0225,0.7561848335,0,0.04,0.7561848335
0.73,0.7652153616,0.8770815935,0.8363191402,0.5950947685,0.7057919721,0,0,0,0,0.01,0.7652153616,0,0.0225,0.7652153616,0,0.04,0.7652153616
0.74,0.7739516245,0.8919471854,0.8643676579,0.6293000761,0.9111548943,0,0,0,0,0.01,0.7739516245,0,0.0225,0.7739516245,0,0.04,0.7739516245
0.75,0.7829428893,0.9237350962,0.7586973974,0.6619809183,0.8036350868,0,0,0,0,0.01,0.7829428893,0,0.0225,0.7829428893,0,0.04,0.7829428893
0.76,0.7919668339,0.8940667641,0.6279936821,0.7917921073,0.8597168665,0,0,0,0,0.01,0.7919668339,0,0.0225,0.7919668339,0,0.04,0.7919668339
0.77,0.8007367609,0.8758141807,0.8077166879,0.9494124158,0.9819980046,0,0,0,0,0.01,0.8007367609,0,0.0225,0.8007367609,0,0.04,0.8007367609
0.78,0.8096353125,0.8963209679,0.8729879606,0.609516372,0.7553140457,0,0,0,0,0.01,0.8096353125,0,0.0225,0.8096353125,0,0.04,0.8096353125
0.79,0.8187019389,0.9026331907,0.875180018,1.019147111,0.6472442427,0,0,0,0,0.01,0.8187019389,0,0.0225,0.8187019389,0,0.04,0.8187019389
0.8,0.8275008298,0.8842496074,0.8230239543,0.860943705,1.089179597,0,0,0,0,0.01,0.8275008298,0,0.0225,0.8275008298,0,0.04,0.8275008298
0.81,0.8361876443,0.8773387092,0.8677765148,0.9275725499,0.8420845886,0,0,0,0,0.01,0.8361876443,0,0.0225,0.8361876443,0,0.04,0.8361876443
0.82,0.8449834346,0.8968932343,0.8654231751,0.4887854736,0.6459304581,0,0,0,0,0.01,0.8449834346,0,0.0225,0.8449834346,0,0.04,0.8449834346
0.83,0.853999349,0.9063680589,0.9075295863,0.9034165921,0.7055297304,0,0,0,0,0.01,0.853999349,0,0.0225,0.853999349,0,0.04,0.853999349
0.84,0.862935762,0.9052730307,0.7890869657,0.9187804215,0.7229001101,0,0,0,0,0.01,0.862935762,0,0.0225,0.862935762,0,0.04,0.862935762
0.85,0.871774856,0.8807063818,0.7778869074,0.633202354,0.8279718542,0,0,0,0,0.01,0.871774856,0,0.0225,0.871774856,0,0.04,0.871774856
0.86,0.8805943544,0.8734047639,0.8744185609,0.8693581396,1.045740804,0,0,0,0,0.01,0.8805943544,0,0.0225,0.8805943544,0,0.04,0.8805943544
0.87,0.8892600993,0.8963113765,0.7949395912,1.18816223,0.7997320639,0,0,0,0,0.01,0.8892600993,0,0.0225,0.8892600993,0,0.04,0.8892600993
0.88,0.8982304378,0.8997615125,0.9524399882,0.7367226124,0.6993193502,0,0,0,0,0.01,0.8982304378,0,0.0225,0.8982304378,0,0.04,0.8982304378
0.89,0.9075324282,0.9523435969,0.7949370826,0.9844684746,1.016082439,0,0,0,0,0.01,0.9075324282,0,0.0225,0.9075324282,0,0.04,0.9075324282
0.9,0.9171629894,0.9413012005,0.9563323585,0.9122764539,0.7580379134,0,0,0,0,0.01,0.9171629894,0,0.0225,0.9171629894,0,0.04,0.9171629894
0.91,0.9263912307,0.9039045064,1.035109183,0.8580843415,0.7118627845,0,0,0,0,0.01,0.9263912307,0,0.0225,0.9263912307,0,0.04,0.9263912307
0.92,0.9356816362,0.9353578382,0.7389664082,0.7993484825,0.8440383303,0,0,0,0,0.01,0.9356816362,0,0.0225,0.9356816362,0,0.04,0.9356816362
0.93,0.9447923346,0.9039821491,1.066586977,0.915510157,0.9245519959,0,0,0,0,0.01,0.9447923346,0,0.0225,0.9447923346,0,0.04,0.9447923346
0.94,0.9540180854,0.9301924853,1.065014905,1.09302079,0.8131224541,0,0,0,0,0.01,0.9540180854,0,0.0225,0.9540180854,0,0.04,0.9540180854
0.95,0.9630738962,0.8967526694,1.002057173,1.148987862,1.035531698,0,0,0,0,0.01,0.9630738962,0,0.0225,0.9630738962,0,0.04,0.9630738962
0.96,0.9719033832,0.8820119176,1.054927288,0.8793133605,1.143122423,0,0,0,0,0.01,0.9719033832,0,0.0225,0.9719033832,0,0.04,0.9719033832
0.97,0.9808272145,0.8864410754,1.052058694,1.143450145,1.008200713,0,0,0,0,0.01,0.9808272145,0,0.0225,0.9808272145,0,0.04,0.9808272145
0.98,0.9895140785,0.8521499852,1.031101508,0.883719648,0.8152238543,0,0,0,0,0.01,0.9895140785,0,0.0225,0.9895140785,0,0.04,0.9895140785
0.99,0.9980331232,0.8410534425,1.00083783,0.8373101499,0.8478411195,0,0,0,0,0.01,0.9980331232,0,0.0225,0.9980331232,0,0.04,0.9980331232
1,1.006591631,0.8552505514,1.004422173,0.7970151047,0.8424244235,0,0,0,0,0.01,1.006591631,0,0.0225,1.006591631,0,0.04,1.006591631
1.01,1.015318593,0.9008455135,1.023412334,0.8624132785,1.03810706,0,0,0,0,0.01,1.015318593,0,0.0225,1.015318593,0,0.04,1.015318593
1.02,1.024386545,0.9102861777,1.165080727,1.224932998,0.815574685,0,0,0,0,0.01,1.024386545,0,0.0225,1.024386545,0,0.04,1.024386545
1.03,1.033578351,0.9218219423,0.9971146843,1.022769152,1.002698313,0,0,0,0,0.01,1.033578351,0,0.0225,1.033578351,0,0.04,1.033578351
1.04,1.043009291,0.9547349138,1.103644715,1.037385524,0.8779388354,0,0,0,0,0.01,1.043009291,0,0.0225,1.043009291,0,0.04,1.043009291
1.05,1.052555993,0.9517099164,0.986854535,1.062195673,0.8029083593,0,0,0,0,0.01,1.052555993,0,0.0225,1.052555993,0,0.04,1.052555993
1.06,1.062105014,0.9742643551,0.9336642304,0.7394300327,0.9628045722,0,0,0,0,0.01,1.062105014,0,0.0225,1.062105014,0,0.04,1.062105014
1.07,1.071857047,0.9811764706,1.160429407,1.278297977,0.8928641794,0,0,0,0,0.01,1.071857047,0,0.0225,1.071857047,0,0.04,1.071857047
1.08,1.08162955,0.9818014325,1.144412391,1.180031237,0.9522595889,0,0,0,0,0.01,1.08162955,0,0.0225,1.08162955,0,0.04,1.08162955
1.09,1.091597053,0.9972290326,0.9873442813,1.165080193,1.258275896,0,0,0,0,0.01,1.091597053,0,0.0225,1.091597053,0,0.04,1.091597053
1.1,1.10149554,0.977345252,1.05970511,1.46027933,0.940034773,0,0,0,0,0.01,1.10149554,0,0.0225,1.10149554,0,0.04,1.10149554
1.11,1.111240665,0.9768398964,1.144392008,0.9491403057,1.15304272,0,0,0,0,0.01,1.111240665,0,0.0225,1.111240665,0,0.04,1.111240665
1.12,1.120862588,0.9464555786,1.03925347,1.12140068,1.017774682,0,0,0,0,0.01,1.120862588,0,0.0225,1.120862588,0,0.04,1.120862588
1.13,1.13015168,0.893073871,1.27224043,1.159972686,0.9846594165,0,0,0,0,0.01,1.13015168,0,0.0225,1.13015168,0,0.04,1.13015168
1.14,1.139114077,0.9152236726,0.9720322067,1.190779307,1.100706161,0,0,0,0,0.01,1.139114077,0,0.0225,1.139114077,0,0.04,1.139114077
1.15,1.148195376,0.891472011,1.1772933,1.169042473,1.254066593,0,0,0,0,0.01,1.148195376,0,0.0225,1.148195376,0,0.04,1.148195376
1.16,1.157146092,0.9134702407,1.178256169,1.039924737,0.8346516138,0,0,0,0,0.01,1.157146092,0,0.0225,1.157146092,0,0.04,1.157146092
1.17,1.16632667,0.9192876902,1.02370848,1.083402795,0.9563756074,0,0,0,0,0.01,1.16632667,0,0.0225,1.16632667,0,0.04,1.16632667
1.18,1.175541964,0.9092672445,1.049598488,1.291342659,1.362870024,0,0,0,0,0.01,1.175541964,0,0.0225,1.175541964,0,0.04,1.175541964
1.19,1.184586592,0.8939910794,1.181136043,1.178151468,1.075710135,0,0,0,0,0.01,1.184586592,0,0.0225,1.184586592,0,0.04,1.184586592
1.2,1.193486789,0.8940919229,1.150673905,1.113748651,1.747672697,0,0,0,0,0.01,1.193486789,0,0.0225,1.193486789,0,0.04,1.193486789
1.21,1.202518796,0.8987381448,1.266521324,1.457466828,1.395778671,0,0,0,0,0.01,1.202518796,0,0.0225,1.202518796,0,0.04,1.202518796
1.22,1.211383351,0.8838706841,1.251527155,1.275878558,1.271806642,0,0,0,0,0.01,1.211383351,0,0.0225,1.211383351,0,0.04,1.211383351
1.23,1.220117997,0.8569192533,1.020694222,1.22415932,1.031427008,0,0,0,0,0.01,1.220117997,0,0.0225,1.220117997,0,0.04,1.220117997
1.24,1.228985835,0.9071040154,1.125089134,1.121398241,1.39982474,0,0,0,0,0.01,1.228985835,0,0.0225,1.228985835,0,0.04,1.228985835
1.25,1.238027264,0.9177033492,1.085800776,1.106249348,1.327504119,0,0,0,0,0.01,1.238027264,0,0.0225,1.238027264,0,0.04,1.238027264
1.26,1.247123767,0.9070471065,1.1845282,1.35213373,1.068961375,0,0,0,0,0.01,1.247123767,0,0.0225,1.247123767,0,0.04,1.247123767
1.27,1.256163858,0.9176855699,1.204391764,1.316410079,1.085230137,0,0,0,0,0.01,1.256163858,0,0.0225,1.256163858,0,0.04,1.256163858
1.28,1.265389078,0.9325249073,1.364918807,1.360113669,1.220871107,0,0,0,0,0.01,1.265389078,0,0.0225,1.265389078,0,0.04,1.265389078
1.29,1.274602993,0.9158142543,1.288562675,1.436459001,1.115191296,0,0,0,0,0.01,1.274602993,0,0.0225,1.274602993,0,0.04,1.274602993
1.3,1.283821855,0.9338036717,1.058518566,1.239563608,1.334602824,0,0,0,0,0.01,1.283821855,0,0.0225,1.283821855,0,0.04,1.283821855
1.31,1.293207037,0.9409084933,1.190786088,1.344214457,1.253930215,0,0,0,0,0.01,1.293207037,0,0.0225,1.293207037,0,0.04,1.293207037
1.32,1.302638566,0.9299853831,1.388826902,1.274890018,1.314198956,0,0,0,0,0.01,1.302638566,0,0.0225,1.302638566,0,0.04,1.302638566
1.33,1.311862827,0.9316535092,1.388359524,1.219919805,1.374204276,0,0,0,0,0.01,1.311862827,0,0.0225,1.311862827,0,0.04,1.311862827
1.34,1.321025392,0.9058574156,1.227101673,1.387555596,1.128461928,0,0,0,0,0.01,1.321025392,0,0.0225,1.321025392,0,0.04,1.321025392
1.35,1.329820455,0.8786164993,1.310112043,1.240823626,1.339494823,0,0,0,0,0.01,1.329820455,0,0.0225,1.329820455,0,0.04,1.329820455
1.36,1.338568915,0.8726666295,1.416022324,1.307937347,1.438806258,0,0,0,0,0.01,1.338568915,0,0.0225,1.338568915,0,0.04,1.338568915
1.37,1.347207846,0.8526955135,1.248475346,1.480779401,1.63670154,0,0,0,0,0.01,1.347207846,0,0.0225,1.347207846,0,0.04,1.347207846
1.38,1.355770318,0.8656556927,1.35554953,1.26024474,1.125216855,0,0,0,0,0.01,1.355770318,0,0.0225,1.355770318,0,0.04,1.355770318
1.39,1.364368542,0.8686598961,1.574791286,1.249310157,0.7423563296,0,0,0,0,0.01,1.364368542,0,0.0225,1.364368542,0,0.04,1.364368542
1.4,1.373084096,0.8752011646,1.402651776,1.286890043,1.372363019,0,0,0,0,0.01,1.373084096,0,0.0225,1.373084096,0,0.04,1.373084096
1.41,1.382087032,0.9098677887,1.292621833,1.577600817,1.404403093,0,0,0,0,0.01,1.382087032,0,0.0225,1.382087032,0,0.04,1.382087032
1.42,1.391115505,0.8934567173,1.286246167,1.289679859,1.452574424,0,0,0,0,0.01,1.391115505,0,0.0225,1.391115505,0,0.04,1.391115505
1.43,1.400007234,0.9038800591,1.396966727,1.082900247,1.283246806,0,0,0,0,0.01,1.400007234,0,0.0225,1.400007234,0,0.04,1.400007234
1.44,1.4089463,0.8732158804,1.391202217,1.520677732,1.539891241,0,0,0,0,0.01,1.4089463,0,0.0225,1.4089463,0,0.04,1.4089463
1.45,1.417624392,0.8651447481,1.471248807,1.638595034,1.516500364,0,0,0,0,0.01,1.417624392,0,0.0225,1.417624392,0,0.04,1.417624392
1.46,1.426494878,0.8859008141,1.375895477,1.384574836,1.719589665,0,0,0,0,0.01,1.426494878,0,0.0225,1.426494878,0,0.04,1.426494878
1.47,1.435360034,0.9079979059,1.378635148,1.617705572,1.672228955,0,0,0,0,0.01,1.435360034,0,0.0225,1.435360034,0,0.04,1.435360034
1.48,1.444263771,0.8972953361,1.473606566,1.785269628,1.811347338,0,0,0,0,0.01,1.444263771,0,0.0225,1.444263771,0,0.04,1.444263771
1.49,1.453178126,0.8854586165,1.375402441,1.479170185,1.521568185,0,0,0,0,0.01,1.453178126,0,0.0225,1.453178126,0,0.04,1.453178126
1.5,1.462037251,0.8996795137,1.461186043,1.59144693,1.412304369,0,0,0,0,0.01,1.462037251,0,0.0225,1.462037251,0,0.04,1.462037251
1.51,1.470980569,0.8852042647,1.541708727,1.509590562,1.248660289,0,0,0,0,0.01,1.470980569,0,0.0225,1.470980569,0,0.04,1.470980569
1.52,1.479836818,0.8753862273,1.361918011,1.547482454,1.235426167,0,0,0,0,0.01,1.479836818,0,0.0225,1.479836818,0,0.04,1.479836818
1.53,1.488943131,0.9284952121,1.467962893,1.383660165,1.496882958,0,0,0,0,0.01,1.488943131,0,0.0225,1.488943131,0,0.04,1.488943131
1.54,1.498413503,0.9504237237,1.36052657,1.623823572,1.352226251,0,0,0,0,0.01,1.498413503,0,0.0225,1.498413503,0,0.04,1.498413503
1.55,1.507836927,0.9349239345,1.508523279,1.265843061,1.767938437,0,0,0,0,0.01,1.507836927,0,0.0225,1.507836927,0,0.04,1.507836927
1.56,1.51716677,0.9474533675,1.424961851,1.568388465,1.564651385,0,0,0,0,0.01,1.51716677,0,0.0225,1.51716677,0,0.04,1.51716677
1.57,1.526571943,0.9433203121,1.41644082,1.595702108,1.537879678,0,0,0,0,0.01,1.526571943,0,0.0225,1.526571943,0,0.04,1.526571943
1.58,1.535860384,0.9331689486,1.560268147,1.619139187,1.238296209,0,0,0,0,0.01,1.535860384,0,0.0225,1.535860384,0,0.04,1.535860384
1.59,1.545370099,0.9701538569,1.475172169,1.592764762,2.022420575,0,0,0,0,0.01,1.545370099,0,0.0225,1.545370099,0,0.04,1.545370099
1.6,1.5550721,0.9714607509,1.596645719,1.643401199,1.298824172,0,0,0,0,0.01,1.5550721,0,0.0225,1.5550721,0,0.04,1.5550721
1.61,1.56484026,0.9947189402,1.649018854,1.215507118,1.640668463,0,0,0,0,0.01,1.56484026,0,0.0225,1.56484026,0,0.04,1.56484026
1.62,1.574885896,1.017453858,1.509679719,1.76432355,1.12493075,0,0,0,0,0.01,1.574885896,0,0.0225,1.574885896,0,0.04,1.574885896
1.63,1.585002913,1.015073453,1.325406017,1.635465301,1.764632525,0,0,0,0,0.01,1.585002913,0,0.0225,1.585002913,0,0.04,1.585002913
1.64,1.595178963,1.009121017,1.420363932,1.524992407,1.809711297,0,0,0,0,0.01,1.595178963,0,0.0225,1.595178963,0,0.04,1.595178963
1.65,1.605206571,0.9891206562,1.571360067,1.656516644,1.902868068,0,0,0,0,0.01,1.605206571,0,0.0225,1.605206571,0,0.04,1.605206571
1.66,1.615141898,1.01032892,1.716750167,1.35156546,1.966001279,0,0,0,0,0.01,1.615141898,0,0.0225,1.615141898,0,0.04,1.615141898
1.67,1.625327553,1.013851876,1.866619203,1.642973739,1.472059808,0,0,0,0,0.01,1.625327553,0,0.0225,1.625327553,0,0.04,1.625327553
1.68,1.635435685,0.9933558969,1.4570653,1.828077539,1.609761934,0,0,0,0,0.01,1.635435685,0,0.0225,1.635435685,0,0.04,1.635435685
